school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested
,Wallace State Community College,,Alabama,AAS,95,,
,"Brookline College, Phoenix Campus",,Arizona,AAS,100,,
,GateWay Community College,,Arizona,AAS,90,,
,"Pima Medical Institute, Mesa",,Arizona,AAS,81,,
,"Pima Medical Institute, Tucson",,Arizona,AAS,100,,
,"Arkansas State University, Jonesboro",,Arkansas,AAS,87,,
,"Arkansas Tech University, Ozark Campus",,Arkansas,AAS,60,,
,Baptist Health College Little Rock,,Arkansas,AAS,94,,
,Cossatot Community College of the University of Arkansas,,Arkansas,AAS,83,,
,"American Career College, Orange County Campus",,California,AAS,84,,
,CBD College,,California,AAS,72,,
,"Clovis Community College, Herndon Campus",,California,AAS,100,,
,Grossmont College,,California,AAS,78,,
,"Pima Medical Institute, San Marcos",,California,AAS,100,,
,"Platt College, Anaheim",,California,AAS,71,,
,Sacramento City College,,California,AAS,88,,
,Santa Ana College,,California,AAS,76,,
,Stanbridge University,,California,AAS,83,,
,"Pima Medical Institute, Denver",,Colorado,AAS,100,,
,Pueblo Community College,,Colorado,AAS,81,,
,Connecticut State Community College,,Connecticut,AAS,81,,
,Goodwin University,,Connecticut,AAS,73,,
,"Delaware Tech and Community College, George Campus",,Delaware,AAS,86,,
,"Delaware Tech and Community College, Owens Campus",,Delaware,AAS,67,,
,Trinity Washington University,,District of Columbia,AAS,88,,
,AdventHealth University,,Florida,AAS,100,,
,"Concorde Career Institute, Miramar",,Florida,AAS,60,,
,Daytona State College,,Florida,AAS,93,,
,"Florida State College, Jacksonville",,Florida,AAS,93,,
,"Keiser University, Daytona Beach",,Florida,AAS,100,,
,"Keiser University, Fort Myers",,Florida,AAS,82,,
,"Keiser University, Ft. Lauderdale",,Florida,AAS,32,,
,"Keiser University, Jacksonville",,Florida,AAS,73,,
,"Keiser University, Melbourne",,Florida,AAS,89,,
,"Keiser University, Miami Campus",,Florida,AAS,91,,
,"Keiser University, Orlando",,Florida,AAS,67,,
,"Keiser University, Pembroke Pines",,Florida,AAS,94,,
,"Keiser University, Tallahassee",,Florida,AAS,87,,
,"Keiser University, Tampa",,Florida,AAS,100,,
,"Keiser University, West Palm Beach Campus",,Florida,AAS,82,,
,Polk State College,,Florida,AAS,83,,
,"Praxis Institute, Hialeah Campus",,Florida,AAS,9,,
,"South University, Tampa",,Florida,AAS,100,,
,"State College of Florida, Manatee-Sarasota",,Florida,AAS,100,,
,Albany State University,,Georgia,AAS,30,,
,Augusta Technical College,,Georgia,AAS,56,,
,"Chattahoochee Technical College, Canton Campus",,Georgia,AAS,80,,
,Middle Georgia State University,,Georgia,AAS,100,,
,University of Hawaii/Kapiolani Community College,,Hawaii,AAS,83,,
,College of Western Idaho,,Idaho,AAS,88,,
,Idaho State University,,Idaho,AAS,100,,
,Fox College,,Illinois,AAS,80,,
,"Illinois Central College, Peoria Campus",,Illinois,AAS,100,,
,Lewis & Clark Community College,,Illinois,AAS,82,,
,Lincoln Land Community College,,Illinois,AAS,67,,
,McHenry County College,,Illinois,AAS,100,,
,Parkland College,,Illinois,AAS,75,,
,Shawnee Community College,,Illinois,AAS,71,,
,South Suburban College of Cook County,,Illinois,AAS,0,,
,Wright College,,Illinois,AAS,58,,
,Huntington University,,Indiana,AAS,83,,
,Indiana Wesleyan University,,Indiana,AAS,100,,
,University of Southern Indiana,,Indiana,AAS,93,,
,Hawkeye Community College,,Iowa,AAS,91,,
,Indian Hills Community College,,Iowa,AAS,100,,
,"Kirkwood Community College, Linn County Regional Center",,Iowa,AAS,93,,
,"Cleveland University, Kansas City",,Kansas,AAS,71,,
,"Neosho County Community College, Ottawa",,Kansas,AAS,100,,
,Newman University,,Kansas,AAS,100,,
,Washburn University,,Kansas,AAS,71,,
,Jefferson Community and Technical College,,Kentucky,AAS,67,,
,Madisonville Community College,,Kentucky,AAS,80,,
,Ross College in Hopkinsville,,Kentucky,AAS,100,,
,Bossier Parish Community College,,Louisiana,AAS,85,,
,Delgado Community College,,Louisiana,AAS,86,,
,University of Louisiana at Monroe,,Louisiana,AAS,96,,
,Kennebec Valley Community College,,Maine,AAS,100,,
,Allegany College of Maryland,,Maryland,AAS,78,,
,Community College of Baltimore County at Catonsville,,Maryland,AAS,75,,
,Wor-Wic Community College,,Maryland,AAS,100,,
,Bristol Community College,,Massachusetts,AAS,100,,
,North Shore Community College,,Massachusetts,AAS,100,,
,Quinsigamond Community College,,Massachusetts,AAS,80,,
,Springfield Technical Community College,,Massachusetts,AAS,80,,
,Baker College of Muskegon,,Michigan,AAS,50,,
,Baker College of Owosso,,Michigan,AAS,100,,
,Grand Rapids Community College,,Michigan,AAS,100,,
,Macomb Community College,,Michigan,AAS,88,,
,Mott Community College,,Michigan,AAS,100,,
,Western Michigan University,,Michigan,AAS,100,,
,Anoka Technical College,,Minnesota,AAS,93,,
,Northland Community and Technical College,,Minnesota,AAS,100,,
,St. Catherine University,,Minnesota,AAS,89,,
,"Holmes Community College, Ridgeland",,Mississippi,AAS,100,,
,"Itawamba Community College, Tupelo Campus",,Mississippi,AAS,88,,
,Mississippi Gulf Coast Community College,,Mississippi,AAS,100,,
,Pearl River Community College,,Mississippi,AAS,89,,
,Central Methodist University,,Missouri,AAS,100,,
,"Crowder College, Webb City",,Missouri,AAS,80,,
,"Jefferson College, Hillsboro",,Missouri,AAS,100,,
,"Metropolitan Community College, Penn Valley",,Missouri,AAS,100,,
,Missouri Health Professions Consortium,,Missouri,AAS,76,,
,Ozarks Technical Community College,,Missouri,AAS,100,,
,St. Charles Community College,,Missouri,AAS,76,,
,"St. Louis Community College, Forest Park",,Missouri,AAS,100,,
,University of Missouri,,Missouri,AAS,77,,
,"Central Community College, Grand Island",,Nebraska,AAS,79,,
,Union Adventist University,,Nebraska,AAS,83,,
,"Pima Medical Institute, Las Vegas",,Nevada,AAS,94,,
,River Valley Community College,,New Hampshire,AAS,100,,
,Eastwick College,,New Jersey,AAS,66,,
,Felician University,,New Jersey,AAS,0,,
,Raritan Valley Community College,,New Jersey,AAS,75,,
,"Rutgers, The State University of New Jersey",,New Jersey,AAS,81,,
,"Eastern New Mexico University, Roswell",,New Mexico,AAS,38,,
,San Juan College,,New Mexico,AAS,100,,
,"Bryant & Stratton College, Greece Campus",,New York,AAS,100,,
,"Bryant & Stratton College, Syracuse Campus",,New York,AAS,100,,
,Cayuga Community College,,New York,AAS,0,,
,Erie Community College,,New York,AAS,100,,
,Jamestown Community College,,New York,AAS,62,,
,LaGuardia Community College,,New York,AAS,52,,
,Maria College,,New York,AAS,50,,
,Mercy University,,New York,AAS,58,,
,Orange County Community College,,New York,AAS,78,,
,Rockland Community College,,New York,AAS,100,,
,"Suffolk County Community College, Michael J. Grant Campus",,New York,AAS,54,,
,Villa Maria College,,New York,AAS,50,,
,Asheville-Buncombe Technical Community College,,North Carolina,AAS,90,,
,Cabarrus College of Health Sciences,,North Carolina,AAS,95,,
,Cape Fear Community College,,North Carolina,AAS,100,,
,Central Piedmont Community College,,North Carolina,AAS,100,,
,Durham Technical Community College,,North Carolina,AAS,100,,
,Pitt Community College,,North Carolina,AAS,78,,
,Rowan-Cabarrus Community College,,North Carolina,AAS,94,,
,"South College, Asheville",,North Carolina,AAS,100,,
,"Southwestern Community College, Jackson/Sylva Campus",,North Carolina,AAS,100,,
,North Dakota State College of Science,,North Dakota,AAS,90,,
,"Bryant & Stratton College, Solon Campus",,Ohio,AAS,75,,
,Cincinnati State Technical and Community College,,Ohio,AAS,92,,
,Cuyahoga Community College,,Ohio,AAS,86,,
,"EHOVE Adult Career Center, Lorain County Community College",,Ohio,AAS,79,,
,Kent State University at Ashtabula,,Ohio,AAS,100,,
,Kent State University at East Liverpool,,Ohio,AAS,0,,
,Lakeland Community College,,Ohio,AAS,78,,
,Marion Technical College,,Ohio,AAS,100,,
,Owens Community College,,Ohio,AAS,75,,
,Rhodes State College,,Ohio,AAS,100,,
,Shawnee State University,,Ohio,AAS,70,,
,Sinclair Community College,,Ohio,AAS,100,,
,Stark State College,,Ohio,AAS,84,,
,Zane State College,,Ohio,AAS,82,,
,"Caddo-Kiowa Technology Center, Southwestern Oklahoma State University",,Oklahoma,AAS,70,,
,Indian Capital Technology Center/Connors State College,,Oklahoma,AAS,90,,
,Murray State College,,Oklahoma,AAS,90,,
,Oklahoma City Community College,,Oklahoma,AAS,92,,
,"Tulsa Community College, Metro Campus",,Oklahoma,AAS,92,,
,"Linn-Benton Community College, Healthcare Occupations Center",,Oregon,AAS,100,,
,Central Penn College,,Pennsylvania,AAS,100,,
,"Community College of Allegheny County, Boyce",,Pennsylvania,AAS,95,,
,Harcum College,,Pennsylvania,AAS,75,,
,Lackawanna College,,Pennsylvania,AAS,75,,
,"Pennsylvania State University, Berks",,Pennsylvania,AAS,80,,
,"Pennsylvania State University, DuBois",,Pennsylvania,AAS,100,,
,"Pennsylvania State University, Mont Alto",,Pennsylvania,AAS,86,,
,"Pennsylvania State University, Shenango",,Pennsylvania,AAS,78,,
,Thomas Jefferson University,,Pennsylvania,AAS,92,,
,Huertas College,,Puerto Rico,AAS,0,,
,Community College of Rhode Island,,Rhode Island,AAS,80,,
,New England Institute of Technology,,Rhode Island,AAS,100,,
,"Greenville Technical College, Benson Campus",,South Carolina,AAS,100,,
,"Horry-Georgetown Technical College, Grand Strand Campus",,South Carolina,AAS,92,,
,"Piedmont Technical College, Newberry Campus",,South Carolina,AAS,88,,
,"South University, Columbia",,South Carolina,AAS,25,,
,"Southeastern College, Charleston Campus",,South Carolina,AAS,100,,
,Trident Technical College,,South Carolina,AAS,100,,
,Lake Area Technical College,,South Dakota,AAS,88,,
,"Concorde Career College, Memphis",,Tennessee,AAS,57,,
,Jackson State Community College,,Tennessee,AAS,80,,
,Nashville State Community College,,Tennessee,AAS,88,,
,Roane State Community College,,Tennessee,AAS,92,,
,"South College, Knoxville",,Tennessee,AAS,63,,
,"South College, Nashville",,Tennessee,AAS,86,,
,Walters State Community College,,Tennessee,AAS,90,,
,Amarillo College,,Texas,AAS,82,,
,Austin Community College,,Texas,AAS,100,,
,"Dallas College, Mountain View Campus",,Texas,AAS,80,,
,Del Mar College,,Texas,AAS,81,,
,Houston Community College,,Texas,AAS,76,,
,"Lone Star College, Kingwood",,Texas,AAS,95,,
,"Lone Star College, Tomball",,Texas,AAS,84,,
,McLennan Community College,,Texas,AAS,100,,
,Medical Education and Training Campus/Uniformed Services University,,Texas,AAS,80,,
,Navarro College,,Texas,AAS,89,,
,Panola College,,Texas,AAS,53,,
,Parker University,,Texas,AAS,50,,
,"Pima Medical Institute, El Paso",,Texas,AAS,92,,
,"Pima Medical Institute, Houston",,Texas,AAS,81,,
,"San Jacinto College, South Campus",,Texas,AAS,100,,
,South Texas College,,Texas,AAS,100,,
,St. Philip’s College,,Texas,AAS,100,,
,Tyler Junior College,,Texas,AAS,92,,
,Weatherford College,,Texas,AAS,69,,
,Joyce University of Nursing and Health Sciences,,Utah,AAS,96,,
,Salt Lake Community College,,Utah,AAS,100,,
,Eastern Virginia Career College,,Virginia,AAS,75,,
,Northern Virginia Community College,,Virginia,AAS,93,,
,Radford University Carilion,,Virginia,AAS,100,,
,"South University, Richmond",,Virginia,AAS,100,,
,"South University, Virginia Beach",,Virginia,AAS,0,,
,Southwest Virginia Community College,,Virginia,AAS,77,,
,"Tidewater Community College, Virginia Beach Campus",,Virginia,AAS,80,,
,Bates Technical College,,Washington,AAS,60,,
,Green River College,,Washington,AAS,100,,
,Lake Washington Institute of Technology,,Washington,AAS,92,,
,"Pima Medical Institute, Renton",,Washington,AAS,83,,
,Spokane Falls Community College,,Washington,AAS,100,,
,"University of Charleston, Beckley",,West Virginia,AAS,91,,
,"Bryant & Stratton College, Wauwatosa Campus",,Wisconsin,AAS,67,,
,Fox Valley Technical College,,Wisconsin,AAS,100,,
,Madison Area Technical College,,Wisconsin,AAS,93,,
,Milwaukee Area Technical College,,Wisconsin,AAS,92,,
,"Northwood Technical College, Ashland Campus",,Wisconsin,AAS,100,,
,Western Technical College,,Wisconsin,AAS,100,,
,Casper College,,Wyoming,AAS,100,,
