naics_code,setting_name,employment,pct_of_total,annual_mean_wage,annual_median_wage
56-1320,Temporary / Travel,1970,1.3,85290.0,92260.0
61-1000,Educational Services,20390,13.4,89700.0,83890.0
62-1100,Physician Practices,5290,3.5,96510.0,98750.0
62-1340,Private Practice / Outpatient,42330,27.8,96310.0,96380.0
62-1400,Outpatient Care Centers,2040,1.3,108710.0,101210.0
62-1600,Home Health,13020,8.6,109560.0,103010.0
62-2000,Hospitals,43020,28.3,100860.0,100770.0
62-3100,Skilled Nursing Facilities,10930,7.2,103730.0,103210.0
62-3300,Assisted Living / CCRC,1520,1.0,105640.0,101210.0
99-9000,Government,3410,2.2,102220.0,103390.0
